n_iterations,n_valid,drop_rate,avg_att_pct,avg_att_level,true_att_pct,bias_pct_pts,coverage,avg_ci_width_level,fnr,mcse_coverage,mcse_fnr,scenario,effect_label,effect_pct,tool_label,fpr,avg_null_att_pct,mcse_fpr
1000,1000,0.0,11.32,450.08,7.5,3.82,0.722,694.26,0.379,0.0142,0.0153,A1,effect,0.075,causalimpact,,,
1000,1000,0.0,6.5,264.72,7.5,-1.0,0.803,749.1,0.662,0.0126,0.015,A1,effect,0.075,causalpy_y_hat,,,
1000,1000,0.0,7.72,312.79,7.5,0.22,0.922,2020.07,0.913,0.0085,0.0089,A1,effect,0.075,geolift,,,
1000,1000,0.0,9.51,380.65,7.5,2.01,0.831,833.48,0.571,0.0119,0.0157,A1,effect,0.075,google_mm,,,
1000,1000,0.0,3.82,162.71,0.0,3.82,0.722,694.26,,0.0142,,A1,null,0.0,causalimpact,0.278,3.82,0.0142
1000,1000,0.0,-0.9,-18.77,0.0,-0.9,0.797,748.65,,0.0127,,A1,null,0.0,causalpy_y_hat,0.198,-0.9,0.0126
1000,1000,0.0,0.22,25.43,0.0,0.22,0.954,2058.67,,0.0066,,A1,null,0.0,geolift,0.046,0.22,0.0066
1000,1000,0.0,2.01,93.28,0.0,2.01,0.831,833.48,,0.0119,,A1,null,0.0,google_mm,0.169,2.01,0.0119
1000,1000,0.0,11.46,2283.81,7.5,3.96,0.7,3489.26,0.372,0.0145,0.0153,A2,effect,0.075,causalimpact,,,
1000,1000,0.0,6.81,1385.72,7.5,-0.69,0.821,3752.54,0.643,0.0121,0.0152,A2,effect,0.075,causalpy_y_hat,,,
1000,1000,0.0,10.72,2144.25,7.5,3.22,0.936,9954.52,0.91,0.0077,0.009,A2,effect,0.075,geolift,,,
1000,1000,0.0,9.85,1968.4,7.5,2.35,0.817,4170.03,0.53,0.0122,0.0158,A2,effect,0.075,google_mm,,,
1000,1000,0.0,3.96,842.26,0.0,3.96,0.7,3489.26,,0.0145,,A2,null,0.0,causalimpact,0.3,3.96,0.0145
1000,1000,0.0,-0.59,-35.36,0.0,-0.59,0.822,3750.18,,0.0121,,A2,null,0.0,causalpy_y_hat,0.182,-0.59,0.0122
1000,1000,0.0,3.22,702.7,0.0,3.22,0.958,10149.65,,0.0063,,A2,null,0.0,geolift,0.042,3.22,0.0063
1000,1000,0.0,2.35,526.85,0.0,2.35,0.817,4170.03,,0.0122,,A2,null,0.0,google_mm,0.183,2.35,0.0122
1000,1000,0.0,11.71,460.83,7.5,4.21,0.711,686.57,0.343,0.0143,0.015,A3,effect,0.075,causalimpact,,,
1000,1000,0.0,6.93,275.95,7.5,-0.57,0.824,773.73,0.652,0.012,0.0151,A3,effect,0.075,causalpy_y_hat,,,
1000,1000,0.0,8.53,341.85,7.5,1.03,0.925,1926.35,0.893,0.0083,0.0098,A3,effect,0.075,geolift,,,
1000,1000,0.0,10.8,425.01,7.5,3.3,0.809,828.8,0.473,0.0124,0.0158,A3,effect,0.075,google_mm,,,
1000,1000,0.0,4.21,174.73,0.0,4.21,0.711,686.57,,0.0143,,A3,null,0.0,causalimpact,0.289,4.21,0.0143
1000,1000,0.0,-0.46,-6.1,0.0,-0.46,0.822,772.67,,0.0121,,A3,null,0.0,causalpy_y_hat,0.18,-0.46,0.0121
1000,1000,0.0,1.03,55.75,0.0,1.03,0.951,1953.57,,0.0068,,A3,null,0.0,geolift,0.049,1.03,0.0068
1000,1000,0.0,3.3,138.91,0.0,3.3,0.809,828.8,,0.0124,,A3,null,0.0,google_mm,0.191,3.3,0.0124
1000,1000,0.0,9.37,352.71,7.5,1.87,0.705,694.78,0.478,0.0144,0.0158,A4,effect,0.075,causalimpact,,,
1000,1000,0.0,6.45,248.17,7.5,-1.05,0.759,718.74,0.635,0.0135,0.0152,A4,effect,0.075,causalpy_y_hat,,,
1000,1000,0.0,7.11,273.09,7.5,-0.39,0.951,5574.99,0.957,0.0068,0.0064,A4,effect,0.075,geolift,,,
1000,1000,0.0,8.53,323.86,7.5,1.03,0.855,915.14,0.659,0.0111,0.015,A4,effect,0.075,google_mm,,,
1000,1000,0.0,1.87,82.02,0.0,1.87,0.705,694.78,,0.0144,,A4,null,0.0,causalimpact,0.295,1.87,0.0144
1000,1000,0.0,-0.79,-13.22,0.0,-0.79,0.758,717.45,,0.0135,,A4,null,0.0,causalpy_y_hat,0.248,-0.79,0.0137
1000,1000,0.0,-0.39,2.4,0.0,-0.39,0.967,5394.68,,0.0056,,A4,null,0.0,geolift,0.033,-0.39,0.0056
1000,1000,0.0,1.03,53.17,0.0,1.03,0.855,915.14,,0.0111,,A4,null,0.0,google_mm,0.145,1.03,0.0111
